ARG_Name	ARG	AMR_category	AMR_sub_class	Resistance_mechanism
AADA27	aadA27	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA3	aadA3	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA4	aadA4	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA5	aadA5	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA6	aadA6	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA6/AADA10	aadA6/aadA10	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA7	aadA7	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA8	aadA8	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA8B	aadA8b	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA9	aadA9	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADB	aadB	aminoglycoside	aminoglycoside antibiotic	-
AADD	aadD	aminoglycoside	aminoglycoside antibiotic	-
AADE	aadE	aminoglycoside	aminoglycoside antibiotic	-
AADK	aadK	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADS	aadS	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ABCA	abcA	multidrug	cephalosporin;penam;peptide antibiotic	antibiotic efflux
ABEM	abeM	multidrug	acridine dye;fluoroquinolone antibiotic;triclosan	antibiotic efflux
ABES	abeS	multidrug	aminocoumarin antibiotic;macrolide antibiotic	antibiotic efflux
ACC-1	ACC-1	beta-lactam	cephalosporin;monobactam;penam	antibiotic inactivation
ACC-2	ACC-2	beta-lactam	cephalosporin;monobactam;penam	antibiotic inactivation
ACC-3	ACC-3	beta-lactam	cephalosporin;monobactam;penam	antibiotic inactivation
ACC-4	ACC-4	beta-lactam	cephalosporin;monobactam;penam	antibiotic inactivation
ACC-5	ACC-5	beta-lactam	cephalosporin;monobactam;penam	antibiotic inactivation
ACI-1	ACI-1	beta-lactam	cephalosporin;penam;penem	antibiotic inactivation
ACINETOBACTER BAUMANNII ABAF	Acinetobacter baumannii AbaF	fosfomycin	fosfomycin	antibiotic efflux
ACINETOBACTER BAUMANNII ABAQ	Acinetobacter baumannii AbaQ	fluoroquinolone	fluoroquinolone antibiotic	antibiotic efflux
ACINETOBACTER BAUMANNII ABUO	Acinetobacter baumannii AbuO	multidrug	aminoglycoside antibiotic;benzalkonium chloride;carbapenem;cephalosporin;glycylcycline;penam;tetracycline antibiotic	antibiotic efflux
ACINETOBACTER BAUMANNII AMPC BETA-LACTAMASE	Acinetobacter baumannii ampC beta-lactamase	beta-lactam	cephalosporin;penam	antibiotic inactivation
ACINETOBACTER BAUMANNII AMVA	Acinetobacter baumannii AmvA	multidrug	acridine dye;macrolide antibiotic	antibiotic efflux
ACINETOBACTER BAUMANNII GYRA CONFERRING RESISTANCE TO FLUOROQUINOLONES	Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones	multidrug	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
ACINETOBACTER BAUMANNII OPRD CONFERRING RESISTANCE TO IMIPENEM	Acinetobacter baumannii OprD conferring resistance to imipenem	beta-lactam	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	reduced permeability to antibiotic;resistance by absence
ACINETOBACTER BAUMANNII PARC CONFERRING RESISTANCE TO FLUOROQUINOLONE	Acinetobacter baumannii parC conferring resistance to fluoroquinolone	fluoroquinolone	fluoroquinolone antibiotic	antibiotic target alteration
ACINETOBACTER_BAUMANNII_AMPC_BETA-LACTAMASE	Acinetobacter_baumannii_ampC_beta-lactamase	beta-lactam	beta-lactam antibiotics	antibiotic inactivation
ACRA	acrA	multidrug	tetracycline antibiotic; phenicol antibiotic; penam; glycylcycline; cephalosporin; rifamycin antibiotic; triclosan; fluoroquinolone antibiotic	antibiotic efflux
ACRB	acrB	multidrug	cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux
ACRD	acrD	aminoglycoside	aminoglycoside antibiotic	antibiotic efflux
ACRE	AcrE	multidrug	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
ACRF	AcrF	multidrug	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
ACRF	acrF	multidrug	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
ACRS	AcrS	multidrug	cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux
ACT-1	ACT-1	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-10	ACT-10	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-12	ACT-12	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-13	ACT-13	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-14	ACT-14	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-15	ACT-15	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-16	ACT-16	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-17	ACT-17	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-18	ACT-18	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-19	ACT-19	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-2	ACT-2	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-20	ACT-20	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-21	ACT-21	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-22	ACT-22	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-23	ACT-23	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-24	ACT-24	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-25	ACT-25	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-27	ACT-27	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-28	ACT-28	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-29	ACT-29	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-3	ACT-3	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-30	ACT-30	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-31	ACT-31	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-32	ACT-32	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-33	ACT-33	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-35	ACT-35	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-36	ACT-36	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-37	ACT-37	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-38	ACT-38	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-4	ACT-4	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-5	ACT-5	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-6	ACT-6	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-7	ACT-7	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-8	ACT-8	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACT-9	ACT-9	beta-lactam	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ADC-1	ADC-1	beta-lactam	cephalosporin	antibiotic inactivation
ADC-10	ADC-10	beta-lactam	cephalosporin	antibiotic inactivation
ADC-11	ADC-11	beta-lactam	cephalosporin	antibiotic inactivation
ADC-12	ADC-12	beta-lactam	cephalosporin	antibiotic inactivation
ADC-13	ADC-13	beta-lactam	cephalosporin	antibiotic inactivation
ADC-14	ADC-14	beta-lactam	cephalosporin	antibiotic inactivation
ADC-15	ADC-15	beta-lactam	cephalosporin	antibiotic inactivation
ADC-16	ADC-16	beta-lactam	cephalosporin	antibiotic inactivation
ADC-17	ADC-17	beta-lactam	cephalosporin	antibiotic inactivation
ADC-18	ADC-18	beta-lactam	cephalosporin	antibiotic inactivation
ADC-19	ADC-19	beta-lactam	cephalosporin	antibiotic inactivation
ADC-2	ADC-2	beta-lactam	cephalosporin	antibiotic inactivation
ADC-20	ADC-20	beta-lactam	cephalosporin	antibiotic inactivation
ADC-21	ADC-21	beta-lactam	cephalosporin	antibiotic inactivation
ADC-22	ADC-22	beta-lactam	cephalosporin	antibiotic inactivation
ADC-23	ADC-23	beta-lactam	cephalosporin	antibiotic inactivation
ADC-25	ADC-25	beta-lactam	cephalosporin	antibiotic inactivation
ADC-3	ADC-3	beta-lactam	cephalosporin	antibiotic inactivation
ADC-30	ADC-30	beta-lactam	cephalosporin	antibiotic inactivation
ADC-31	ADC-31	beta-lactam	cephalosporin	antibiotic inactivation
ADC-39	ADC-39	beta-lactam	cephalosporin	antibiotic inactivation
ADC-4	ADC-4	beta-lactam	cephalosporin	antibiotic inactivation
ADC-41	ADC-41	beta-lactam	cephalosporin	antibiotic inactivation
ADC-42	ADC-42	beta-lactam	cephalosporin	antibiotic inactivation
ADC-43	ADC-43	beta-lactam	cephalosporin	antibiotic inactivation
ADC-44	ADC-44	beta-lactam	cephalosporin	antibiotic inactivation
ADC-5	ADC-5	beta-lactam	cephalosporin	antibiotic inactivation
ADC-56	ADC-56	beta-lactam	cephalosporin	antibiotic inactivation
ADC-58	ADC-58	beta-lactam	cephalosporin	antibiotic inactivation
ADC-59	ADC-59	beta-lactam	cephalosporin	antibiotic inactivation
ADC-6	ADC-6	beta-lactam	cephalosporin	antibiotic inactivation
ADC-60	ADC-60	beta-lactam	cephalosporin	antibiotic inactivation
ADC-61	ADC-61	beta-lactam	cephalosporin	antibiotic inactivation
ADC-62	ADC-62	beta-lactam	cephalosporin	antibiotic inactivation
ADC-67	ADC-67	beta-lactam	cephalosporin	antibiotic inactivation
ADC-68	ADC-68	beta-lactam	carbapenem	antibiotic inactivation
ADC-7	ADC-7	beta-lactam	cephalosporin	antibiotic inactivation
ADC-73	ADC-73	beta-lactam	cephalosporin	antibiotic inactivation
ADC-74	ADC-74	beta-lactam	cephalosporin	antibiotic inactivation
ADC-75	ADC-75	beta-lactam	cephalosporin	antibiotic inactivation
ADC-76	ADC-76	beta-lactam	cephalosporin	antibiotic inactivation
ADC-77	ADC-77	beta-lactam	cephalosporin	antibiotic inactivation
ADC-78	ADC-78	beta-lactam	cephalosporin	antibiotic inactivation
ADC-79	ADC-79	beta-lactam	cephalosporin	antibiotic inactivation
ADC-8	ADC-8	beta-lactam	cephalosporin	antibiotic inactivation
ADC-80	ADC-80	beta-lactam	cephalosporin	antibiotic inactivation
ADC-81	ADC-81	beta-lactam	cephalosporin	antibiotic inactivation
ADC-82	ADC-82	beta-lactam	cephalosporin	antibiotic inactivation
ADEA	adeA	multidrug	glycylcycline;tetracycline antibiotic	antibiotic efflux
ADEB	adeB	multidrug	glycylcycline;tetracycline antibiotic	antibiotic efflux
ADEC	adeC	multidrug	glycylcycline;tetracycline antibiotic	antibiotic efflux
ADEF	adeF	multidrug	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
ADEG	adeG	multidrug	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
ADEH	adeH	multidrug	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
ADEI	adeI	multidrug	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ADEJ	adeJ	multidrug	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ADEK	adeK	multidrug	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ADEL	adeL	multidrug	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
ADEN	adeN	multidrug	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ADER	adeR	multidrug	glycylcycline;tetracycline antibiotic	antibiotic efflux
ADES	adeS	multidrug	glycylcycline;tetracycline antibiotic	antibiotic efflux
ADP-RIBOSYLATING_TRANSFERASE_ARR	ADP-ribosylating_transferase_arr	rifamycin	rifamycin antibiotic	-
AER-1	AER-1	beta-lactam	penam	antibiotic inactivation
AGROBACTERIUM FABRUM CHLORAMPHENICOL ACETYLTRANSFERASE	Agrobacterium fabrum chloramphenicol acetyltransferase	phenicol	phenicol antibiotic	antibiotic inactivation
AIM-1	AIM-1	beta-lactam	cephalosporin;cephamycin;penam	antibiotic inactivation
ALMG	almG	peptide	peptide antibiotic	antibiotic target alteration
AMPC	ampC	beta-lactam	beta-lactam antibiotics	antibiotic inactivation
AMRA	amrA	aminoglycoside	aminoglycoside antibiotic	antibiotic efflux
AMRB	amrB	aminoglycoside	aminoglycoside antibiotic	antibiotic efflux
ANT(2'')-I	ant(2'')-I	aminoglycoside	aminoglycoside antibiotic	-
ANT(2'')-IA	ANT(2'')-Ia	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(3'')-IH-AAC(6')-IID	ant(3'')-Ih-aac(6')-IId	aminoglycoside	aminoglycoside antibiotic	-
ANT(3'')-II-AAC(6')-IID FUSION PROTEIN	ANT(3'')-Ii-AAC(6')-IId fusion protein	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(3'')-IIA	ANT(3'')-IIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(3'')-IIB	ANT(3'')-IIb	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(3'')-IIC	ANT(3'')-IIc	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(4')-IA	ant(4')-Ia	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(4')-IA	ANT(4')-Ia	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(4')-IB	ANT(4')-Ib	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(4')-IIA	ANT(4')-IIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(4')-IIA	ant(4')-IIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(4')-IIB	ANT(4')-IIb	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
ANT(6)-IA	ANT(6)-Ia	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
